,Code,Company,Exchange,Ex Code
92,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
93,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
94,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
95,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
96,AL,Aluminum,New York Commodity Exchange,COMEX
97,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
98,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
99,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
100,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
101,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
102,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
103,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
104,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
105,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
106,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
107,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
108,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
109,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
110,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
111,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
112,G9.C,Gold Enhanced Deliv Continuation,New York Commodity Exchange,COMEX
113,G9G21,Gold Enhanced Deliv {Feb 21},New York Commodity Exchange,COMEX
114,G9G22,Gold Enhanced Deliv {Feb 22},New York Commodity Exchange,COMEX
115,G9H21,Gold Enhanced Deliv {Mar 21},New York Commodity Exchange,COMEX
116,G9J21,Gold Enhanced Deliv {Apr 21},New York Commodity Exchange,COMEX
117,G9K21,Gold Enhanced Deliv {May 21},New York Commodity Exchange,COMEX
118,G9M21,Gold Enhanced Deliv {Jun 21},New York Commodity Exchange,COMEX
119,G9M22,Gold Enhanced Deliv {Jun 22},New York Commodity Exchange,COMEX
120,G9M23,Gold Enhanced Deliv {Jun 23},New York Commodity Exchange,COMEX
121,G9M24,Gold Enhanced Deliv {Jun 24},New York Commodity Exchange,COMEX
122,G9M25,Gold Enhanced Deliv {Jun 25},New York Commodity Exchange,COMEX
123,G9M26,Gold Enhanced Deliv {Jun 26},New York Commodity Exchange,COMEX
